Number         Type           Pspl           Binary         Burst          Pos Binary     Square         
1              Flat           0              0              0              0              0              
2              Long PSPL      0              0              0              0              0              
3              Periodic       0              0              2              0              0              
4              Binary         0              1              0              0              0              
5              Pos Binary     0              0              0              1              0              
6              PSPL           1              0              0              0              0              
7              Periodic       1              0              2              0              0              
8              Long PSPL      0              0              0              0              0              
9              Binary         0              1              0              0              0              
10             Flat           0              0              0              0              0              
11             Periodic       1              0              1              0              0              
12             Long PSPL      0              0              0              0              0              
13             Flat           0              0              0              0              0              
14             Binary         0              1              0              0              0              
15             Periodic       2              0              0              0              0              
16             Periodic       1              0              1              0              0              
17             Pos Binary     0              0              0              1              0              
18             Binary         0              1              0              0              0              
19             Flat           0              0              0              0              0              
20             Long PSPL      0              0              0              0              0              
21             Pos Binary     0              0              0              1              0              
22             Long PSPL      0              0              0              0              0              
23             Flat           0              0              0              0              0              
24             Periodic       2              0              0              0              0              
25             Binary         0              1              0              0              0              
26             Flat           0              0              0              0              0              
27             Pos Binary     0              0              0              1              0              
28             Binary         0              1              0              0              0              
29             Long PSPL      0              0              0              0              0              
30             Pos Binary     0              0              0              1              0              
31             Pos Binary     0              0              0              1              0              
32             Long PSPL      0              0              0              0              0              
33             Long PSPL      0              0              0              0              0              
34             Periodic       4              0              0              3              0              
35             Periodic       1              0              1              0              0              
36             PSPL           1              0              0              0              0              
37             PSPL           1              0              0              0              0              
38             Long PSPL      0              0              0              0              0              
39             Binary         0              1              0              0              0              
40             Binary         0              1              0              0              0              
41             Long PSPL      0              0              0              0              0              
42             Long PSPL      0              0              0              0              0              
43             Pos Binary     0              0              0              1              0              
44             Periodic       2              0              0              1              0              
45             Long PSPL      0              0              0              0              0              
46             Long PSPL      0              0              0              0              0              
47             Long PSPL      0              0              0              0              0              
48             Flat           0              0              0              0              0              
49             Burst          0              0              1              0              0              
50             Long PSPL      0              0              0              0              0              
51             Burst          0              0              1              0              0              
52             Binary         0              1              0              0              0              
53             Binary         0              1              0              0              0              
54             Long PSPL      0              0              0              0              0              
55             Flat           0              0              0              0              0              
56             Long PSPL      0              0              0              0              0              
57             Pos Binary     0              0              0              1              0              
58             Long PSPL      0              0              0              0              0              
59             PSPL           1              0              0              0              0              
60             Pos Binary     0              0              0              1              0              
61             Long PSPL      0              0              0              0              0              
62             Periodic       0              1              0              1              0              
63             Binary         0              1              0              0              0              
64             Periodic       1              0              1              0              0              
65             Pos Binary     0              0              0              1              0              
66             Long PSPL      0              0              0              0              0              
67             Binary         0              1              0              0              0              
68             Long PSPL      0              0              0              0              0              
69             Long PSPL      0              0              0              0              0              
70             Long PSPL      0              0              0              0              0              
71             Binary         0              1              0              0              0              
72             Binary         0              1              0              0              0              
73             Binary         0              1              0              0              0              
74             Binary         0              1              0              0              0              
75             Periodic       1              0              1              0              0              
76             Binary         0              1              0              0              0              
77             PSPL           1              0              0              0              0              
78             Long PSPL      0              0              0              0              0              
79             Long PSPL      0              0              0              0              0              
80             Long PSPL      0              0              0              0              0              
81             Long PSPL      0              0              0              0              0              
82             Long PSPL      0              0              0              0              0              
83             Periodic       6              0              0              5              0              
84             Pos Binary     0              0              0              1              0              
85             Pos Binary     0              0              0              1              0              
86             Periodic       2              0              2              1              0              
87             Pos Binary     0              0              0              1              0              
88             Long PSPL      0              0              0              0              0              
89             PSPL           1              0              0              0              0              
90             Periodic       1              0              0              1              0              
91             Pos Binary     0              0              0              1              0              
92             Long PSPL      0              0              0              0              0              
93             Long PSPL      0              0              0              0              0              
94             Binary         0              1              0              0              0              
95             Binary         0              1              0              0              0              
96             Periodic       1              0              1              0              0              
97             PSPL           1              0              0              0              0              
98             Burst          0              0              1              0              0              
